,,,,"0: HIGH(<-8.5), 1:MEDIUM, 2: LOW(>-7)",,,
Name,Crystal structure with G-actin,IC50,Log IC50,CELL_POTENCY ,SMILES ,FAMILY_OF_TOXIN,BARBED_END_BINDING_FAMILY
Reidispongiolide A,2ASM ,0.04 μg/mL in HT29 [121],-7.38,1,C[C@H]1/C=C/[C@H](C[C@@H]([C@H]([C@H]2CC(=CC(=O)O2)C[C@@H](C/C(=C/C=C/C(=O)O[C@@H]([C@H](/C=C/[C@@H](C[C@@H]1OC)OC)C)[C@@H](C)[C@H]([C@@H](C)CCC(=O)[C@H](C)[C@@H](C/C=C/N(C)C=O)OC)OC)/C)OC)C)OC)OC,Barbed_end_binding,Reidispongiolide
Sphinxolide B,2ASO ,0.01 μg/mL in HT29 [121],-7.98,1,C[C@H]1/C=C/[C@H](C[C@@H]([C@H]([C@H]2[C@H](C(=CC(=O)O2)C[C@@H](C/C(=C\C=C\C(=O)O[C@@H]([C@H](/C=C/[C@@H](C[C@@H]1O)OC)C)[C@@H](C)[C@H]([C@@H](C)CCC(=O)[C@H](C)[C@@H](C/C=C/N(C)C=O)OC)OC)/C)OC)O)C)OC)OC,Barbed_end_binding,Sphinxolide
Swinholide A,1YXQ,"IC50 = 1.7 ng/mL, KB cells[125]",-8.91,0,C[C@@H]1O[C@H](C[C@@H](C1)OC)CC[C@@H]([C@H](O)[C@@H]([C@H]2OC(=O)/C=C/C(=C/C[C@@H](C[C@H]3O[C@H](C[C@@H]([C@H]([C@H](C[C@H]([C@@H]([C@H](OC(=O)/C=C/C(=C/C[C@@H](C[C@H]4O[C@H](C[C@@H]([C@H]([C@H](C[C@H]([C@@H]2C)O)O)C)OC)CC=C4)O)/C)[C@H]([C@@H](O)[C@H](CC[C@@H]5O[C@H](C[C@H](C5)OC)C)C)C)C)O)O)C)OC)CC=C3)O)/C)C)C  ,Barbed_end_binding,Swinholide
Lobophorolide ,3M6G,"IC50 =0.03 μg/mL, HCT-116 [127]",-7.41,1,C[C@H]1C[C@H](C[C@@H](O1)CC[C@H](C)[C@@H]([C@H](C)[C@@H]2[C@H]([C@@H](C[C@@H]([C@]3(CO3)[C@H](C[C@@H]4CC=C[C@H](O4)C[C@H]([C@@H](/C=C(/C=C/C(=O)O2)\C)O)OC)OC)OC)OC)C)O)OC  ,Barbed_end_binding,Lobophorolide 
Bistramide A,2FXU ,"IC50 = 0.53 µg/mL, KB cells [128]",-6.12,2,C/C=C/C(=O)C[C@H]1CC[C@@H]([C@@H](O1)CC(=O)NC[C@@H]([C@H](C)C(=O)NCCC[C@@H]2[C@H](CC[C@@]3(O2)CCC[C@@H](O3)CC[C@H](C)/C=C(\C)/[C@H](C)O)C)O)C,Barbed_end_binding,Bistramide
Kabiramide C,4K41 ,10 –100 nM,-7.3,1,C[C@H]1C[C@@H](CC(=O)O[C@H]([C@@H]([C@H](C/C=C/C2=NC(=CO2)C3=NC(=CO3)C4=NC(=CO4)[C@@H]([C@H]([C@H](C1)O)C)OC)OC)C)C[C@@H]([C@@H](C)CCC(=O)[C@H](C)[C@@H]([C@H](C)/C=C/N(C)C=O)OC)OC)OC(=O)N  ,Barbed_end_binding,Trisoxazoles
Jaspisamide A,1QZ6 ,0.015 µg/mL in KB [133],-7.76,1,CC1CC/C=C/C2=NC(=CO2)C3=NC(=CO3)C4=NC(=CO4)C(C(C(=O)CC(CC(CC(=O)OC1CC(C(C)CCC(=O)C(C)C(C/C=C/N(C)C=O)OC)OC)O)O)C)OC,Barbed_end_binding,Trisoxazoles
Ulapualide A,1S22 ,0.25 µg/ml in A549 [134] ,-6.55,2,C[C@H]1CC(=O)CCC[C@@H](CC(=O)O[C@H]([C@@H]([C@H](CC=CC2=NC(=CO2)C3=NC(=CO3)C4=NC1=CO4)OC)C)C[C@@H]([C@@H](C)CCC(=O)[C@@H](C)C(C(C)C=CN(C)CO)OC(=O)C)OC)O  ,Barbed_end_binding,Trisoxazoles
Mycalolide B, 6MGO ,0.02 μg/mL in A549 (measured in our lab),-7.71,1,C[C@@H]1[C@H](C/C=C/C2=NC(=CO2)C3=NC(=CO3)C4=NC(=CO4)[C@H]([C@H](C(=O)/C=C/C[C@@H](CC(=O)O[C@H]1C[C@@H]([C@@H](C)CC[C@H]([C@H](C)[C@@H]([C@H](C)/C=C/N(C)C=O)OC(=O)C)OC(=O)[C@@H](COC)OC)OC)O)C)OC)OC  ,Barbed_end_binding,Trisoxazoles
Aplyronine A,1WUA,0.48 IC₅₀ in HeLa S3 (ng/mL),-9.35,0,C[C@@H]1CC[C@@H](/C(=C/C[C@H](C[C@H](/C=C/C[C@H](OC(=O)/C=C/C=C/C[C@H]([C@H]([C@@H]1O)C)OC(=O)[C@H](COC)N(C)C)[C@@H](C)[C@H]([C@@H](C)CC[C@H]([C@H](C)[C@@H]([C@H](C)/C=C/N(C)C=O)OC(=O)C)OC(=O)[C@H](C)N(C)C)O)OC)C)/C)OC,Barbed_end_binding,Aplyronine
Latrunculin B,2Q0U ,7.1 µM in HCT-116,-5.1,2,C[C@H]/1CC[C@@H]2C[C@H](C[C@@](O2)([C@@H]3CSC(=O)N3)O)OC(=O)/C=C(\CC/C=C1)/C,G-actin binding,NA
Phalloidin,7BTI,"NA, not permeable",NA,2,C[C@H]1C(=O)N[C@H]2CC3=C(NC4=CC=CC=C34)SC[C@@H](C(=O)N5C[C@H](C[C@H]5C(=O)N1)O)NC(=O)[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC2=O)C[C@](C)(CO)O)C)[C@H](C)O  ,F-actin stabilizing,NA
Jasplakinolide,8TRN ,160 nM in HeLa,-6.8,2,C[C@@H]\1C[C@@H](OC(=O)C[C@@H](NC(=O)[C@H](N(C(=O)[C@@H](NC(=O)[C@H](C/C(=C1)/C)C)C)C)CC2=C(NC3=CC=CC=C32)Br)C4=CC=C(C=C4)O)C  ,F-actin stabilizing,NA
Cytochalasin B,,7.9 µM in Hela S3,> -7,2,C[C@@H]1CCC[C@H](/C=C/C(=O)O[C@]23[C@@H](/C=C/C1)[C@@H](C(=C)[C@H]([C@H]2[C@@H](NC3=O)CC4=CC=CC=C4)C)O)O,Barbed_end_binding,Cytochalasin
Cytochalasin D,9L2N ,1.05 µM to 2.93 µM in LNCaP cells,> -7,2,C[C@H]1C/C=C/[C@H]2[C@@H](C(=C)[C@H]([C@@H]3[C@@]2([C@@H](/C=C/[C@@](C1=O)(C)O)OC(=O)C)C(=O)N[C@H]3CC4=CC=CC=C4)C)O,Barbed_end_binding,Cytochalasin
2a,6W7V,low,> -7,2,O=C([C@@H]1OCCC1)O[C@H](CC[C@H](C)[C@@H](OC)C[C@H](OC(CCCN)=O)C(C)C)[C@H](C)[C@H](OC)[C@H](C)/C=C/N(CC)C([H])=O,Barbed_end_binding,tail analogue
2u,,low,> -7,2,O=C([C@@H]1OCCC1)O[C@H](CC[C@H](C)[C@@H](OC)C[C@H](OC(CCCN)=O)C(C)C)[C@H](C)[C@H](OC)[C@H](C)/C=C/N(C)C([H])=O,Barbed_end_binding,tail analogue
2c,,low,> -7,2,[H]C(N(CC)/C=C/[C@@H](C)[C@@H](OC)[C@@H](C)[C@H](OC(C(C)C)=O)CC[C@H](C)[C@@H](OC)C[C@H](OC(CC)=O)C(C)C)=O,Barbed_end_binding,tail analogue
,,,,,,,
Aplyronine B,,3.11 IC₅₀ in HeLa S3 (ng/mL),-8.54,0,C[C@@H]1CC[C@@H](/C(=C/C[C@H](C[C@H](/C=C/C[C@H](OC(=O)/C=C/C=C/C[C@H]([C@@H]([C@@H]1OC(=O)[C@H](COC)N(C)C)C)O)[C@@H](C)[C@H]([C@@H](C)CC[C@H]([C@H](C)[C@@H]([C@H](C)/C=C/N(C)C=O)OC(=O)C)OC(=O)C(C)N(C)C)O)OC)C)/C)OC  ,Barbed_end_binding,Aplyronine
Aplyronine C,,21.1 IC₅₀ in HeLa S3 (ng/mL),-7.65,1,C[C@@H]1CC[C@@H](/C(=C/C[C@H](C[C@H](/C=C/C[C@H](OC(=O)/C=C/C=C/C[C@H]([C@H]([C@@H]1O)C)O)[C@@H](C)[C@H]([C@@H](C)CC[C@H]([C@H](C)[C@@H]([C@H](C)/C=C/N(C)C=O)OC(=O)C)OC(=O)C(C)N(C)C)O)OC)C)/C)OC  ,Barbed_end_binding,Aplyronine
