Name,SMILES 
Reidispongiolide A,C[C@H]1/C=C/[C@H](C[C@@H]([C@H]([C@H]2CC(=CC(=O)O2)C[C@@H](C/C(=C/C=C/C(=O)O[C@@H]([C@H](/C=C/[C@@H](C[C@@H]1OC)OC)C)[C@@H](C)[C@H]([C@@H](C)CCC(=O)[C@H](C)[C@@H](C/C=C/N(C)C=O)OC)OC)/C)OC)C)OC)OC
Sphinxolide B,C[C@H]1/C=C/[C@H](C[C@@H]([C@H]([C@H]2[C@H](C(=CC(=O)O2)C[C@@H](C/C(=C\C=C\C(=O)O[C@@H]([C@H](/C=C/[C@@H](C[C@@H]1O)OC)C)[C@@H](C)[C@H]([C@@H](C)CCC(=O)[C@H](C)[C@@H](C/C=C/N(C)C=O)OC)OC)/C)OC)O)C)OC)OC
Swinholide A,C[C@@H]1O[C@H](C[C@@H](C1)OC)CC[C@@H]([C@H](O)[C@@H]([C@H]2OC(=O)/C=C/C(=C/C[C@@H](C[C@H]3O[C@H](C[C@@H]([C@H]([C@H](C[C@H]([C@@H]([C@H](OC(=O)/C=C/C(=C/C[C@@H](C[C@H]4O[C@H](C[C@@H]([C@H]([C@H](C[C@H]([C@@H]2C)O)O)C)OC)CC=C4)O)/C)[C@H]([C@@H](O)[C@H](CC[C@@H]5O[C@H](C[C@H](C5)OC)C)C)C)C)O)O)C)OC)CC=C3)O)/C)C)C  
Lobophorolide ,C[C@H]1C[C@H](C[C@@H](O1)CC[C@H](C)[C@@H]([C@H](C)[C@@H]2[C@H]([C@@H](C[C@@H]([C@]3(CO3)[C@H](C[C@@H]4CC=C[C@H](O4)C[C@H]([C@@H](/C=C(/C=C/C(=O)O2)\C)O)OC)OC)OC)OC)C)O)OC  
Bistramide A,C/C=C/C(=O)C[C@H]1CC[C@@H]([C@@H](O1)CC(=O)NC[C@@H]([C@H](C)C(=O)NCCC[C@@H]2[C@H](CC[C@@]3(O2)CCC[C@@H](O3)CC[C@H](C)/C=C(\C)/[C@H](C)O)C)O)C
Kabiramide C,C[C@H]1C[C@@H](CC(=O)O[C@H]([C@@H]([C@H](C/C=C/C2=NC(=CO2)C3=NC(=CO3)C4=NC(=CO4)[C@@H]([C@H]([C@H](C1)O)C)OC)OC)C)C[C@@H]([C@@H](C)CCC(=O)[C@H](C)[C@@H]([C@H](C)/C=C/N(C)C=O)OC)OC)OC(=O)N  
Ulapualide A,C[C@H]1CC(=O)CCC[C@@H](CC(=O)O[C@H]([C@@H]([C@H](CC=CC2=NC(=CO2)C3=NC(=CO3)C4=NC1=CO4)OC)C)C[C@@H]([C@@H](C)CCC(=O)[C@@H](C)C(C(C)C=CN(C)CO)OC(=O)C)OC)O  
Mycalolide B,C[C@@H]1[C@H](C/C=C/C2=NC(=CO2)C3=NC(=CO3)C4=NC(=CO4)[C@H]([C@H](C(=O)/C=C/C[C@@H](CC(=O)O[C@H]1C[C@@H]([C@@H](C)CC[C@H]([C@H](C)[C@@H]([C@H](C)/C=C/N(C)C=O)OC(=O)C)OC(=O)[C@@H](COC)OC)OC)O)C)OC)OC  
Aplyronine A,C[C@@H]1CC[C@@H](/C(=C/C[C@H](C[C@H](/C=C/C[C@H](OC(=O)/C=C/C=C/C[C@H]([C@H]([C@@H]1O)C)OC(=O)[C@H](COC)N(C)C)[C@@H](C)[C@H]([C@@H](C)CC[C@H]([C@H](C)[C@@H]([C@H](C)/C=C/N(C)C=O)OC(=O)C)OC(=O)[C@H](C)N(C)C)O)OC)C)/C)OC
Latrunculin B,C[C@H]/1CC[C@@H]2C[C@H](C[C@@](O2)([C@@H]3CSC(=O)N3)O)OC(=O)/C=C(\CC/C=C1)/C
Phalloidin,C[C@H]1C(=O)N[C@H]2CC3=C(NC4=CC=CC=C34)SC[C@@H](C(=O)N5C[C@H](C[C@H]5C(=O)N1)O)NC(=O)[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC2=O)C[C@](C)(CO)O)C)[C@H](C)O  
Jasplakinolide,C[C@@H]\1C[C@@H](OC(=O)C[C@@H](NC(=O)[C@H](N(C(=O)[C@@H](NC(=O)[C@H](C/C(=C1)/C)C)C)C)CC2=C(NC3=CC=CC=C32)Br)C4=CC=C(C=C4)O)C  
Cytochalasin B,C[C@@H]1CCC[C@H](/C=C/C(=O)O[C@]23[C@@H](/C=C/C1)[C@@H](C(=C)[C@H]([C@H]2[C@@H](NC3=O)CC4=CC=CC=C4)C)O)O
Cytochalasin D,C[C@H]1C/C=C/[C@H]2[C@@H](C(=C)[C@H]([C@@H]3[C@@]2([C@@H](/C=C/[C@@](C1=O)(C)O)OC(=O)C)C(=O)N[C@H]3CC4=CC=CC=C4)C)O
2a,O=C([C@@H]1OCCC1)O[C@H](CC[C@H](C)[C@@H](OC)C[C@H](OC(CCCN)=O)C(C)C)[C@H](C)[C@H](OC)[C@H](C)/C=C/N(CC)C([H])=O
2u,O=C([C@@H]1OCCC1)O[C@H](CC[C@H](C)[C@@H](OC)C[C@H](OC(CCCN)=O)C(C)C)[C@H](C)[C@H](OC)[C@H](C)/C=C/N(C)C([H])=O
2c,[H]C(N(CC)/C=C/[C@@H](C)[C@@H](OC)[C@@H](C)[C@H](OC(C(C)C)=O)CC[C@H](C)[C@@H](OC)C[C@H](OC(CC)=O)C(C)C)=O
