Name,SMILES,status,forcefield,conf_rank,conf_id,energy_kcalmol,n_confs_requested,n_confs_generated,min_iters
2a,O=C([C@@H]1OCCC1)O[C@H](CC[C@H](C)[C@@H](OC)C[C@H](OC(CCCN)=O)C(C)C)[C@H](C)[C@H](OC)[C@H](C)/C=C/N(CC)C([H])=O,ok,MMFF94s,1,4,74.19834641327907,8,8,180
2a,O=C([C@@H]1OCCC1)O[C@H](CC[C@H](C)[C@@H](OC)C[C@H](OC(CCCN)=O)C(C)C)[C@H](C)[C@H](OC)[C@H](C)/C=C/N(CC)C([H])=O,ok,MMFF94s,2,7,76.88881934997448,8,8,180
2a,O=C([C@@H]1OCCC1)O[C@H](CC[C@H](C)[C@@H](OC)C[C@H](OC(CCCN)=O)C(C)C)[C@H](C)[C@H](OC)[C@H](C)/C=C/N(CC)C([H])=O,ok,MMFF94s,3,0,79.67678217981509,8,8,180
2c,[H]C(N(CC)/C=C/[C@@H](C)[C@@H](OC)[C@@H](C)[C@H](OC(C(C)C)=O)CC[C@H](C)[C@@H](OC)C[C@H](OC(CC)=O)C(C)C)=O,ok,MMFF94s,1,3,47.82121448257868,8,8,180
2c,[H]C(N(CC)/C=C/[C@@H](C)[C@@H](OC)[C@@H](C)[C@H](OC(C(C)C)=O)CC[C@H](C)[C@@H](OC)C[C@H](OC(CC)=O)C(C)C)=O,ok,MMFF94s,2,1,50.862213140856426,8,8,180
2c,[H]C(N(CC)/C=C/[C@@H](C)[C@@H](OC)[C@@H](C)[C@H](OC(C(C)C)=O)CC[C@H](C)[C@@H](OC)C[C@H](OC(CC)=O)C(C)C)=O,ok,MMFF94s,3,4,55.11077761629892,8,8,180
2u,O=C([C@@H]1OCCC1)O[C@H](CC[C@H](C)[C@@H](OC)C[C@H](OC(CCCN)=O)C(C)C)[C@H](C)[C@H](OC)[C@H](C)/C=C/N(C)C([H])=O,ok,MMFF94s,1,6,82.82344621175311,8,8,180
2u,O=C([C@@H]1OCCC1)O[C@H](CC[C@H](C)[C@@H](OC)C[C@H](OC(CCCN)=O)C(C)C)[C@H](C)[C@H](OC)[C@H](C)/C=C/N(C)C([H])=O,ok,MMFF94s,2,2,84.26648790361995,8,8,180
2u,O=C([C@@H]1OCCC1)O[C@H](CC[C@H](C)[C@@H](OC)C[C@H](OC(CCCN)=O)C(C)C)[C@H](C)[C@H](OC)[C@H](C)/C=C/N(C)C([H])=O,ok,MMFF94s,3,7,84.59038296951998,8,8,180
Aplyronine A,C[C@@H]1CC[C@@H](/C(=C/C[C@H](C[C@H](/C=C/C[C@H](OC(=O)/C=C/C=C/C[C@H]([C@H]([C@@H]1O)C)OC(=O)[C@H](COC)N(C)C)[C@@H](C)[C@H]([C@@H](C)CC[C@H]([C@H](C)[C@@H]([C@H](C)/C=C/N(C)C=O)OC(=O)C)OC(=O)[C@H](C)N(C)C)O)OC)C)/C)OC,ok,MMFF94s,1,5,233.61313157955823,8,8,180
Aplyronine A,C[C@@H]1CC[C@@H](/C(=C/C[C@H](C[C@H](/C=C/C[C@H](OC(=O)/C=C/C=C/C[C@H]([C@H]([C@@H]1O)C)OC(=O)[C@H](COC)N(C)C)[C@@H](C)[C@H]([C@@H](C)CC[C@H]([C@H](C)[C@@H]([C@H](C)/C=C/N(C)C=O)OC(=O)C)OC(=O)[C@H](C)N(C)C)O)OC)C)/C)OC,ok,MMFF94s,2,7,234.52346596494817,8,8,180
