ligand,status,best_affinity_kcal_per_mol,log_path,out_path
2a_conf1_ligand_1.pdbqt,OK,-4.9,vina_results\2a_conf1_ligand_1.log,vina_results\2a_conf1_ligand_1_out.pdbqt
2a_conf2_ligand_1.pdbqt,OK,-5.4,vina_results\2a_conf2_ligand_1.log,vina_results\2a_conf2_ligand_1_out.pdbqt
2a_conf3_ligand_1.pdbqt,OK,-5.1,vina_results\2a_conf3_ligand_1.log,vina_results\2a_conf3_ligand_1_out.pdbqt
2c_conf1_ligand_1.pdbqt,OK,-5.5,vina_results\2c_conf1_ligand_1.log,vina_results\2c_conf1_ligand_1_out.pdbqt
2c_conf2_ligand_1.pdbqt,OK,-5.5,vina_results\2c_conf2_ligand_1.log,vina_results\2c_conf2_ligand_1_out.pdbqt
2c_conf3_ligand_1.pdbqt,OK,-5.2,vina_results\2c_conf3_ligand_1.log,vina_results\2c_conf3_ligand_1_out.pdbqt
2u_conf1_ligand_1.pdbqt,OK,-5.5,vina_results\2u_conf1_ligand_1.log,vina_results\2u_conf1_ligand_1_out.pdbqt
2u_conf2_ligand_1.pdbqt,OK,-5.1,vina_results\2u_conf2_ligand_1.log,vina_results\2u_conf2_ligand_1_out.pdbqt
2u_conf3_ligand_1.pdbqt,OK,-5.1,vina_results\2u_conf3_ligand_1.log,vina_results\2u_conf3_ligand_1_out.pdbqt
Aplyronine_A_conf1_ligand_1.pdbqt,OK,-5.4,vina_results\Aplyronine_A_conf1_ligand_1.log,vina_results\Aplyronine_A_conf1_ligand_1_out.pdbqt
Aplyronine_A_conf2_ligand_1.pdbqt,OK,-5.9,vina_results\Aplyronine_A_conf2_ligand_1.log,vina_results\Aplyronine_A_conf2_ligand_1_out.pdbqt
Aplyronine_A_conf3_ligand_1.pdbqt,OK,-4.8,vina_results\Aplyronine_A_conf3_ligand_1.log,vina_results\Aplyronine_A_conf3_ligand_1_out.pdbqt
Bistramide_A_conf1_ligand_1.pdbqt,OK,-6,vina_results\Bistramide_A_conf1_ligand_1.log,vina_results\Bistramide_A_conf1_ligand_1_out.pdbqt
Bistramide_A_conf2_ligand_1.pdbqt,OK,-6.6,vina_results\Bistramide_A_conf2_ligand_1.log,vina_results\Bistramide_A_conf2_ligand_1_out.pdbqt
Bistramide_A_conf3_ligand_1.pdbqt,OK,-9.2,vina_results\Bistramide_A_conf3_ligand_1.log,vina_results\Bistramide_A_conf3_ligand_1_out.pdbqt
Cytochalasin_B_conf1_ligand_1.pdbqt,OK,-7.7,vina_results\Cytochalasin_B_conf1_ligand_1.log,vina_results\Cytochalasin_B_conf1_ligand_1_out.pdbqt
Cytochalasin_B_conf2_ligand_1.pdbqt,OK,-7.5,vina_results\Cytochalasin_B_conf2_ligand_1.log,vina_results\Cytochalasin_B_conf2_ligand_1_out.pdbqt
Cytochalasin_B_conf3_ligand_1.pdbqt,OK,-8.1,vina_results\Cytochalasin_B_conf3_ligand_1.log,vina_results\Cytochalasin_B_conf3_ligand_1_out.pdbqt
Cytochalasin_D_conf1_ligand_1.pdbqt,OK,-7.5,vina_results\Cytochalasin_D_conf1_ligand_1.log,vina_results\Cytochalasin_D_conf1_ligand_1_out.pdbqt
Cytochalasin_D_conf2_ligand_1.pdbqt,OK,-7.1,vina_results\Cytochalasin_D_conf2_ligand_1.log,vina_results\Cytochalasin_D_conf2_ligand_1_out.pdbqt
Cytochalasin_D_conf3_ligand_1.pdbqt,OK,-7.2,vina_results\Cytochalasin_D_conf3_ligand_1.log,vina_results\Cytochalasin_D_conf3_ligand_1_out.pdbqt
Jasplakinolide_conf1_ligand_1.pdbqt,OK,-7.2,vina_results\Jasplakinolide_conf1_ligand_1.log,vina_results\Jasplakinolide_conf1_ligand_1_out.pdbqt
Jasplakinolide_conf2_ligand_1.pdbqt,OK,-7.7,vina_results\Jasplakinolide_conf2_ligand_1.log,vina_results\Jasplakinolide_conf2_ligand_1_out.pdbqt
Jasplakinolide_conf3_ligand_1.pdbqt,OK,-7,vina_results\Jasplakinolide_conf3_ligand_1.log,vina_results\Jasplakinolide_conf3_ligand_1_out.pdbqt
Kabiramide_C_conf1_ligand_1.pdbqt,OK,-5,vina_results\Kabiramide_C_conf1_ligand_1.log,vina_results\Kabiramide_C_conf1_ligand_1_out.pdbqt
Kabiramide_C_conf2_ligand_1.pdbqt,OK,-5.4,vina_results\Kabiramide_C_conf2_ligand_1.log,vina_results\Kabiramide_C_conf2_ligand_1_out.pdbqt
Kabiramide_C_conf3_ligand_1.pdbqt,OK,-5.2,vina_results\Kabiramide_C_conf3_ligand_1.log,vina_results\Kabiramide_C_conf3_ligand_1_out.pdbqt
Latrunculin_B_conf1_ligand_1.pdbqt,OK,-6.9,vina_results\Latrunculin_B_conf1_ligand_1.log,vina_results\Latrunculin_B_conf1_ligand_1_out.pdbqt
Latrunculin_B_conf2_ligand_1.pdbqt,OK,-7.2,vina_results\Latrunculin_B_conf2_ligand_1.log,vina_results\Latrunculin_B_conf2_ligand_1_out.pdbqt
Latrunculin_B_conf3_ligand_1.pdbqt,OK,-7.2,vina_results\Latrunculin_B_conf3_ligand_1.log,vina_results\Latrunculin_B_conf3_ligand_1_out.pdbqt
Lobophorolide_conf1_ligand_1.pdbqt,OK,-6.4,vina_results\Lobophorolide_conf1_ligand_1.log,vina_results\Lobophorolide_conf1_ligand_1_out.pdbqt
Lobophorolide_conf2_ligand_1.pdbqt,OK,-5.7,vina_results\Lobophorolide_conf2_ligand_1.log,vina_results\Lobophorolide_conf2_ligand_1_out.pdbqt
Lobophorolide_conf3_ligand_1.pdbqt,OK,-5.7,vina_results\Lobophorolide_conf3_ligand_1.log,vina_results\Lobophorolide_conf3_ligand_1_out.pdbqt
Mycalolide_B_conf1_ligand_1.pdbqt,OK,-5.7,vina_results\Mycalolide_B_conf1_ligand_1.log,vina_results\Mycalolide_B_conf1_ligand_1_out.pdbqt
Mycalolide_B_conf2_ligand_1.pdbqt,OK,-5.4,vina_results\Mycalolide_B_conf2_ligand_1.log,vina_results\Mycalolide_B_conf2_ligand_1_out.pdbqt
Mycalolide_B_conf3_ligand_1.pdbqt,OK,-6.5,vina_results\Mycalolide_B_conf3_ligand_1.log,vina_results\Mycalolide_B_conf3_ligand_1_out.pdbqt
Phalloidin_conf1_ligand_1.pdbqt,OK,-6.3,vina_results\Phalloidin_conf1_ligand_1.log,vina_results\Phalloidin_conf1_ligand_1_out.pdbqt
Phalloidin_conf2_ligand_1.pdbqt,OK,-6.2,vina_results\Phalloidin_conf2_ligand_1.log,vina_results\Phalloidin_conf2_ligand_1_out.pdbqt
Phalloidin_conf3_ligand_1.pdbqt,OK,-6.3,vina_results\Phalloidin_conf3_ligand_1.log,vina_results\Phalloidin_conf3_ligand_1_out.pdbqt
Reidispongiolide_A_conf1_ligand_1.pdbqt,OK,-4.9,vina_results\Reidispongiolide_A_conf1_ligand_1.log,vina_results\Reidispongiolide_A_conf1_ligand_1_out.pdbqt
Reidispongiolide_A_conf2_ligand_1.pdbqt,OK,-5.3,vina_results\Reidispongiolide_A_conf2_ligand_1.log,vina_results\Reidispongiolide_A_conf2_ligand_1_out.pdbqt
Reidispongiolide_A_conf3_ligand_1.pdbqt,OK,-4.7,vina_results\Reidispongiolide_A_conf3_ligand_1.log,vina_results\Reidispongiolide_A_conf3_ligand_1_out.pdbqt
Sphinxolide_B_conf1_ligand_1.pdbqt,OK,-5.3,vina_results\Sphinxolide_B_conf1_ligand_1.log,vina_results\Sphinxolide_B_conf1_ligand_1_out.pdbqt
Sphinxolide_B_conf2_ligand_1.pdbqt,OK,-6,vina_results\Sphinxolide_B_conf2_ligand_1.log,vina_results\Sphinxolide_B_conf2_ligand_1_out.pdbqt
Sphinxolide_B_conf3_ligand_1.pdbqt,OK,-5.4,vina_results\Sphinxolide_B_conf3_ligand_1.log,vina_results\Sphinxolide_B_conf3_ligand_1_out.pdbqt
Swinholide_A_conf1_ligand_1.pdbqt,OK,-4.5,vina_results\Swinholide_A_conf1_ligand_1.log,vina_results\Swinholide_A_conf1_ligand_1_out.pdbqt
