ligand,status,best_affinity_kcal_per_mol,log_path,out_path
2a_conf1_ligand_1.pdbqt,OK,-5.1,vina_results_ADP\2a_conf1_ligand_1.log,vina_results_ADP\2a_conf1_ligand_1_out.pdbqt
2a_conf2_ligand_1.pdbqt,OK,-5.2,vina_results_ADP\2a_conf2_ligand_1.log,vina_results_ADP\2a_conf2_ligand_1_out.pdbqt
2a_conf3_ligand_1.pdbqt,OK,-5.1,vina_results_ADP\2a_conf3_ligand_1.log,vina_results_ADP\2a_conf3_ligand_1_out.pdbqt
2c_conf1_ligand_1.pdbqt,OK,-5.2,vina_results_ADP\2c_conf1_ligand_1.log,vina_results_ADP\2c_conf1_ligand_1_out.pdbqt
2c_conf2_ligand_1.pdbqt,OK,-5.0,vina_results_ADP\2c_conf2_ligand_1.log,vina_results_ADP\2c_conf2_ligand_1_out.pdbqt
2c_conf3_ligand_1.pdbqt,OK,-5.2,vina_results_ADP\2c_conf3_ligand_1.log,vina_results_ADP\2c_conf3_ligand_1_out.pdbqt
2u_conf1_ligand_1.pdbqt,OK,-5.3,vina_results_ADP\2u_conf1_ligand_1.log,vina_results_ADP\2u_conf1_ligand_1_out.pdbqt
2u_conf2_ligand_1.pdbqt,OK,-5.3,vina_results_ADP\2u_conf2_ligand_1.log,vina_results_ADP\2u_conf2_ligand_1_out.pdbqt
2u_conf3_ligand_1.pdbqt,OK,-5.5,vina_results_ADP\2u_conf3_ligand_1.log,vina_results_ADP\2u_conf3_ligand_1_out.pdbqt
Aplyronine_A_conf1_ligand_1.pdbqt,OK,-4.7,vina_results_ADP\Aplyronine_A_conf1_ligand_1.log,vina_results_ADP\Aplyronine_A_conf1_ligand_1_out.pdbqt
Aplyronine_A_conf2_ligand_1.pdbqt,OK,-5.8,vina_results_ADP\Aplyronine_A_conf2_ligand_1.log,vina_results_ADP\Aplyronine_A_conf2_ligand_1_out.pdbqt
Aplyronine_A_conf3_ligand_1.pdbqt,OK,-5.8,vina_results_ADP\Aplyronine_A_conf3_ligand_1.log,vina_results_ADP\Aplyronine_A_conf3_ligand_1_out.pdbqt
Bistramide_A_conf1_ligand_1.pdbqt,OK,-6.5,vina_results_ADP\Bistramide_A_conf1_ligand_1.log,vina_results_ADP\Bistramide_A_conf1_ligand_1_out.pdbqt
Bistramide_A_conf2_ligand_1.pdbqt,OK,-5.9,vina_results_ADP\Bistramide_A_conf2_ligand_1.log,vina_results_ADP\Bistramide_A_conf2_ligand_1_out.pdbqt
Bistramide_A_conf3_ligand_1.pdbqt,OK,-6.5,vina_results_ADP\Bistramide_A_conf3_ligand_1.log,vina_results_ADP\Bistramide_A_conf3_ligand_1_out.pdbqt
Cytochalasin_B_conf1_ligand_1.pdbqt,OK,-6.9,vina_results_ADP\Cytochalasin_B_conf1_ligand_1.log,vina_results_ADP\Cytochalasin_B_conf1_ligand_1_out.pdbqt
Cytochalasin_B_conf2_ligand_1.pdbqt,OK,-7.0,vina_results_ADP\Cytochalasin_B_conf2_ligand_1.log,vina_results_ADP\Cytochalasin_B_conf2_ligand_1_out.pdbqt
Cytochalasin_B_conf3_ligand_1.pdbqt,OK,-6.8,vina_results_ADP\Cytochalasin_B_conf3_ligand_1.log,vina_results_ADP\Cytochalasin_B_conf3_ligand_1_out.pdbqt
Cytochalasin_D_conf1_ligand_1.pdbqt,OK,-5.9,vina_results_ADP\Cytochalasin_D_conf1_ligand_1.log,vina_results_ADP\Cytochalasin_D_conf1_ligand_1_out.pdbqt
Cytochalasin_D_conf2_ligand_1.pdbqt,OK,-5.9,vina_results_ADP\Cytochalasin_D_conf2_ligand_1.log,vina_results_ADP\Cytochalasin_D_conf2_ligand_1_out.pdbqt
Cytochalasin_D_conf3_ligand_1.pdbqt,OK,-6.8,vina_results_ADP\Cytochalasin_D_conf3_ligand_1.log,vina_results_ADP\Cytochalasin_D_conf3_ligand_1_out.pdbqt
Jasplakinolide_conf1_ligand_1.pdbqt,OK,-6.9,vina_results_ADP\Jasplakinolide_conf1_ligand_1.log,vina_results_ADP\Jasplakinolide_conf1_ligand_1_out.pdbqt
Jasplakinolide_conf2_ligand_1.pdbqt,OK,-7.4,vina_results_ADP\Jasplakinolide_conf2_ligand_1.log,vina_results_ADP\Jasplakinolide_conf2_ligand_1_out.pdbqt
Jasplakinolide_conf3_ligand_1.pdbqt,OK,-7.1,vina_results_ADP\Jasplakinolide_conf3_ligand_1.log,vina_results_ADP\Jasplakinolide_conf3_ligand_1_out.pdbqt
Kabiramide_C_conf1_ligand_1.pdbqt,OK,-6.5,vina_results_ADP\Kabiramide_C_conf1_ligand_1.log,vina_results_ADP\Kabiramide_C_conf1_ligand_1_out.pdbqt
Kabiramide_C_conf2_ligand_1.pdbqt,OK,-5.4,vina_results_ADP\Kabiramide_C_conf2_ligand_1.log,vina_results_ADP\Kabiramide_C_conf2_ligand_1_out.pdbqt
Kabiramide_C_conf3_ligand_1.pdbqt,OK,-5.4,vina_results_ADP\Kabiramide_C_conf3_ligand_1.log,vina_results_ADP\Kabiramide_C_conf3_ligand_1_out.pdbqt
Latrunculin_B_conf1_ligand_1.pdbqt,OK,-7.3,vina_results_ADP\Latrunculin_B_conf1_ligand_1.log,vina_results_ADP\Latrunculin_B_conf1_ligand_1_out.pdbqt
